source;target;ref;layer
B5EZ02;B5EYZ7;STM;Metabolic
B5EZ02;B5EYZ8;STM;Metabolic
B5EZ02;B5EYZ9;STM;Metabolic
B5EZ02;B5EZ03;STM;Metabolic
B5EZ13;B5EZW3;STM;Metabolic
B5EZ13;B5F7R6;STM;Metabolic
B5EZ16;B5EZ14;STM;Metabolic
B5EZ17;B5EZ14;STM;Metabolic
B5EZ17;B5EZ16;STM;Metabolic
B5EZ18;B5EY67;STM;Metabolic
B5EZ18;B5F524;BioModels;Metabolic
B5EZ18;B5F526;BioModels;Metabolic
B5EZ25;B5EZ26;STM;Metabolic
B5EZ27;B5EYG5;STM;Metabolic
B5EZ27;B5EZ28;BioModels;Metabolic
B5EZ27;B5F1R6;STM;Metabolic
B5EZ27;B5F1T0;STM;Metabolic
B5EZ27;B5F724;BioModels;Metabolic
B5EZ27;B5F7U8;STM_BioModels;Metabolic
B5EZ27;B5F7Y8;STM;Metabolic
B5EZ28;B5EZ33;STM_BioModels;Metabolic
B5EZ33;B5EXH4;STM;Metabolic
B5EZ33;B5EY69;STM_BioModels;Metabolic
B5EZ33;B5EY70;STM_BioModels;Metabolic
B5EZ33;B5EZ25;STM_BioModels;Metabolic
B5EZ33;B5EZ26;STM_BioModels;Metabolic
B5EZ33;B5F1F3;STM;Metabolic
B5EZ33;B5F7V1;BioModels;Metabolic
B5EZ33;B5F7V2;BioModels;Metabolic
B5EZ33;B5F833;STM;Metabolic
B5EZ41;B5EYJ8;STM;Metabolic
B5EZ41;B5F141;STM;Metabolic
B5EZ41;B5F230;STM;Metabolic
B5EZ41;B5F414;STM;Metabolic
B5EZ43;B5EYZ3;STM;Metabolic
B5EZ44;B5EZ51;STM;Metabolic
B5EZ45;B5EXC9;BioModels;Metabolic
B5EZ45;B5EYZ3;STM;Metabolic
B5EZ45;B5F7W4;BioModels;Metabolic
B5EZ45;B5F8U2;BioModels;Metabolic
B5EZ46;B5EZ45;STM_BioModels;Metabolic
B5EZ47;B5EXS2;STM_BioModels;Metabolic
